Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.242554404351736,-0.171380969750206,0.047595679055481,0,0,0,1.682657590176,0.00301207667908311,-5.22346847575621E-12,-3.07051462370208E-05,0.00535033223435682,1.30947753046905E-11,0.00821505625174649,0,0,0,0,0,0,package://model13/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model13/meshes/base_link.STL,,20x20 70-6;20x20 290-4;20x20 70-7;20x20 190-5;20x20 70-8;20x20 150-1;20x20 290-3;20x20 200-2;20x20 200-1;20x20 190-4;20x20 190-3;plate-4;plate-5;20x20 70-5;20x20 70-9;20x20 190-6;20x20 70-11;20x20 70-12;20x20 70-13;plate1-1;suspension-3;suspension-4;suspension-1;suspension-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_wheel_suspension,0.00153023333982277,-0.0049996602922521,5.55111512312578E-17,0,0,0,0.0239463719407107,1.07207044697232E-06,-6.47020675138978E-21,1.88595219505723E-21,5.97423909283023E-06,-6.77966299199832E-23,5.30127484486976E-06,0,0,0,0,0,0,package://model13/meshes/left_front_wheel_suspension.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model13/meshes/left_front_wheel_suspension.STL,,suspension2-1,Origin_left_front_wheel_suspension_joint2,Axis_left_front_wheel_suspension_joint,left_front_wheel_suspension_joint,prismatic,0.17302,-0.25638,-0.025183,1.5708,-0.0058285,0,base_link,0,1,0,1000,1000,0,0.008,,,,,,,,
left_front_wheel_motor,-2.79575138500757E-05,0.00194907944399025,-0.0129364619296243,0,0,0,0.0411670033844286,1.15503164126153E-05,-2.96411876568248E-09,-1.64845302072221E-08,6.93803138202262E-06,1.56454773172923E-07,9.5789890637299E-06,0,0,0,0,0,0,package://model13/meshes/left_front_wheel_motor.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://model13/meshes/left_front_wheel_motor.STL,,Dynamixel MX-28-18,Origin_left_front_wheel_motor_joint2,,left_front_wheel_motor_joint,fixed,0.0003,-0.021785,-0.01,3.1416,0,-1.5708,left_front_wheel_suspension,0,0,0,3.1,7,,,,,,,,,,
left_front_wheel,0.0158391990185419,-9.0205620750794E-17,3.1641356201817E-15,0,0,0,0.22822169800504,0.0007892115763339,-1.78671981515836E-20,3.96411412604527E-18,0.000410429434291421,-4.22736218585234E-19,0.00041042943429142,0,0,0,0,0,0,package://model13/meshes/left_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model13/meshes/left_front_wheel.STL,,Wheel_3dprintABS-12,Origin_left_front_wheel_joint3,Axis_left_front_wheel_joint3,left_front_wheel_joint,continuous,0,0.0133,-0.02475,1.565,1.5708,0,left_front_wheel_motor,1,0,0,3.1,7,,,,,,,,,,
right_front_wheel_suspension,0.00153023333982275,-0.0049996602922521,-1.38777878078145E-17,0,0,0,0.0239463719407107,1.07207044697232E-06,-5.83120972819257E-21,1.70935421665491E-21,5.97423909283023E-06,5.94336006908878E-23,5.30127484486976E-06,0,0,0,0,0,0,package://model13/meshes/right_front_wheel_suspension.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model13/meshes/right_front_wheel_suspension.STL,,suspension2-2,Origin_right_front_wheel_suspension_joint2,Axis_right_front_wheel_suspension_joint,right_front_wheel_suspension_joint,prismatic,0.17302,-0.086381,-0.025183,1.5708,-0.0058285,0,base_link,0,1,0,1000,1000,0,0.008,,,,,,,,
right_front_wheel_motor,-2.79575138501312E-05,0.00194907944399025,-0.0129364619296243,0,0,0,0.0411670033844285,1.15503164126153E-05,-2.96411876568305E-09,-1.64845302071889E-08,6.93803138202261E-06,1.56454773172932E-07,9.5789890637299E-06,0,0,0,0,0,0,package://model13/meshes/right_front_wheel_motor.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://model13/meshes/right_front_wheel_motor.STL,,Dynamixel MX-28-19,Origin_right_front_wheel_motor_joint2,,right_front_wheel_motor_joint,fixed,0.0003,-0.021785,0.01,0,0,1.5708,right_front_wheel_suspension,0,0,0,3.1,7,,,,,,,,,,
right_front_wheel,0.0158391990185425,1.38777878078145E-16,2.22044604925031E-16,0,0,0,0.22822169800504,0.0007892115763339,-1.35535684545618E-20,-1.31839822152598E-18,0.000410429434291421,-3.43353054882062E-19,0.00041042943429142,0,0,0,0,0,0,package://model13/meshes/right_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model13/meshes/right_front_wheel.STL,,Wheel_3dprintABS-13,Origin_right_front_wheel_joint3,Axis_right_front_wheel_joint3,right_front_wheel_joint,continuous,0,0.0133,-0.02475,1.5766,1.5708,0,right_front_wheel_motor,1,0,0,3.1,7,,,,,,,,,,
camera,0.0517232586747523,0.00370936546682636,-0.010328956183931,0,0,0,0.0436119950287128,4.29479133591152E-06,8.85791114048563E-10,1.01813691675744E-09,2.21058141232451E-05,2.17579681215257E-08,2.35707058046403E-05,0,0,0,0,0,0,package://model13/meshes/camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model13/meshes/camera.STL,,Webcam_C920-1,Origin_camera,Axis_camera,camera,fixed,0.12729,-0.12117,0.10055,-1.0708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
myrio,-5.92450278861789E-05,-0.0201677348757046,0.00039132896938357,0,0,0,0.272795037150939,0.000426495369649312,-1.33941181514062E-07,-1.32777557424165E-06,0.000584026336355448,-9.78175021683237E-08,0.000183119671370759,0,0,0,0,0,0,package://model13/meshes/myrio.STL,0.149019607843137,0.149019607843137,0.149019607843137,1,0,0,0,0,0,0,package://model13/meshes/myrio.STL,,NI myRIO2-2,Origin_myrio,Axis_myrio,myrio,fixed,0.261041499396395,-0.185631459517847,0.113328386370531,1.5707963267949,-0.0058284783149254,0,base_link,0,0,0,,,,,,,,,,,,
intel,-5.69397911928671E-05,0.0158670533538889,0.0550835448418936,0,0,0,0.39954289648303,0.00043202912775909,-1.83383124387174E-07,-3.17164968943055E-07,0.000836965270424737,4.77447001830875E-07,0.000473016843888514,0,0,0,0,0,0,package://model13/meshes/intel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model13/meshes/intel.STL,,Intel NUC-2,Origin_intel,Axis_intel,intel,fixed,0.205522597365492,-0.109366659682657,-0.0259953857991605,1.5707963267949,-0.00582847831492263,0,base_link,0,0,0,,,,,,,,,,,,
